houseid,mileage,census_d,census_r,drvrcnt,hhloc,hhsize,hh_0to4,hh_race,msasize,numadult,popdnsty,ref_age,ref_educ,ref_sex,wrkrcnt,hh_5to21,income,ntrip,pur_recr,pur_shop,pur_work,auttrcnt,pur_hbot,pur_nhb,no_trans,urban
10150,0,7,3,2,1,2,0,3,1,2,1,23,2,0,2,0,22500,3,0,0,0,1,3,0,1,1
10159,0,7,3,2,3,3,0,1,94,2,1,42,1,1,2,1,22500,0,0,0,0,3,0,0,1,0
10178,0,7,3,1,1,1,0,1,2,1,6,69,1,0,0,0,32100,0,0,0,0,1,0,0,0,1
10196,38,2,1,2,1,2,0,1,4,2,7,34,1,1,2,0,40565,4,0,0,4,2,0,0,0,1
10197,30,2,1,1,1,3,0,1,4,3,7,26,2,0,1,0,40565,4,0,2,2,3,0,0,0,1
10218,4,2,1,2,3,2,0,1,94,2,3,63,2,0,0,0,17500,3,0,2,0,1,0,1,1,0
10226,56,2,1,2,2,4,2,1,4,2,6,29,2,1,2,0,72500,13,2,2,2,2,3,4,0,1
10233,78,2,1,2,2,4,0,1,1,2,3,34,1,0,2,2,27500,13,0,2,2,2,4,5,0,0
10234,0,2,1,1,1,1,0,1,4,1,9,82,2,0,0,0,7500,0,0,0,0,1,0,0,0,1
10248,0,2,1,1,1,2,0,1,4,2,12,33,1,0,1,0,27500,2,0,0,2,1,0,0,0,1
10254,30,2,1,2,3,3,1,1,94,2,1,21,1,1,1,0,12500,2,0,0,2,1,0,0,1,0
10258,12,2,1,2,2,2,0,1,4,2,3,60,3,1,1,0,27500,3,0,1,0,3,1,1,1,0
10259,100,2,1,2,2,3,1,1,4,2,3,39,2,1,1,0,47500,10,2,0,6,3,0,2,1,0
10282,14,2,1,2,2,2,0,1,4,2,9,66,2,1,0,0,40565,10,0,0,0,1,4,6,0,1
10294,6,2,1,1,2,4,0,1,1,2,2,39,1,1,1,2,12500,12,2,4,0,2,6,0,0,0
10295,16,2,1,1,1,3,1,2,4,2,12,21,1,0,2,0,7500,4,0,0,4,0,0,0,0,1
10296,4,2,1,1,2,1,0,1,4,1,1,21,2,0,0,0,40565,4,2,0,0,3,2,0,0,0
10309,0,2,1,1,1,1,0,1,4,1,11,82,2,0,0,0,17500,3,0,2,0,0,0,1,0,1
10328,0,2,1,1,3,1,0,1,94,1,2,71,1,0,0,0,7500,2,0,2,0,1,0,0,0,0
10344,63,2,1,2,2,4,0,1,4,2,7,36,2,1,2,2,37500,17,0,0,3,2,13,1,0,1
10345,169,2,1,1,1,7,0,1,4,4,5,44,1,0,4,3,22500,26,0,2,9,1,13,2,0,1
10349,41,2,1,2,2,2,0,1,4,2,2,68,1,1,0,0,17500,7,2,3,1,1,0,1,1,0
10361,12,2,1,1,2,2,0,1,4,2,7,66,2,0,0,0,40565,7,0,1,0,2,3,3,0,1
10367,24,2,1,3,2,4,0,1,4,3,4,50,1,1,3,1,100000,16,2,6,4,5,0,4,0,1
10376,162,2,1,2,3,2,0,1,94,2,3,25,1,1,2,0,32500,8,2,0,2,2,4,0,1,0
10404,62,2,1,2,2,2,0,1,4,2,3,74,2,1,0,0,100000,12,2,0,0,1,5,5,1,0
10408,33,2,1,1,2,2,0,1,4,2,3,32,2,0,0,0,47500,2,0,1,0,2,0,1,1,0
10435,23,1,1,1,3,1,0,1,94,1,2,65,2,0,1,0,17500,6,0,2,0,1,0,4,0,0
10446,22,1,1,2,2,2,0,1,3,2,2,44,1,0,1,0,37500,2,0,0,2,2,0,0,1,0
10472,23,1,1,1,2,1,0,1,3,1,6,65,2,0,0,0,43371,10,1,0,0,1,1,8,0,1
10482,24,1,1,1,2,1,0,1,3,1,6,75,1,0,0,0,12500,2,0,0,0,1,0,2,0,1
10483,0,1,1,0,3,1,0,1,94,1,3,73,1,0,0,0,2500,0,0,0,0,0,0,0,1,0
10489,43,3,2,2,2,3,1,1,4,2,7,38,3,1,2,0,100000,7,0,2,4,2,0,1,0,1
10499,0,3,2,2,1,2,0,1,4,2,5,57,1,1,0,0,35571,0,0,0,0,1,0,0,1,1
10503,8,3,2,2,1,4,1,1,4,2,12,34,1,1,2,1,35571,4,0,0,2,2,2,0,0,1
10525,70,3,2,1,2,1,0,1,4,1,3,23,1,0,1,0,27500,4,0,2,2,1,0,0,1,0
10526,34,3,2,1,1,1,0,1,4,1,3,18,1,1,1,0,12500,4,0,0,2,1,2,0,1,1
10537,260,3,2,1,2,1,0,1,4,1,3,33,2,0,1,0,22500,3,1,0,0,1,0,2,1,0
10548,0,3,2,2,1,4,0,1,4,2,11,39,2,1,2,2,37500,8,0,2,0,1,5,1,0,1
10554,44,3,2,3,2,5,2,1,4,3,8,56,2,0,3,0,100000,9,0,0,5,3,2,2,0,1
10587,100,3,2,2,2,5,2,1,1,2,1,35,3,1,2,1,35571,15,2,0,3,2,5,5,1,0
10595,62,3,2,2,1,2,0,1,4,2,10,66,1,0,2,0,7500,12,0,2,3,2,2,5,0,1
10619,173,3,2,2,3,7,1,1,94,2,3,34,1,0,2,4,35571,33,0,0,2,2,22,9,0,0
10627,65,3,2,3,2,4,0,1,2,2,2,53,1,1,2,2,37500,12,0,0,4,4,2,6,1,0
10628,0,3,2,1,3,1,0,1,94,1,1,59,1,1,0,0,7500,0,0,0,0,1,0,0,1,0
